"species","phylum","stage","pred.esd","pred.esd.sd","prey.species","prey.esd","prey.esd.sd","temperature","selectivity","Fmax.at.15.degreeC.[ml.mgC-1.h-1]","Fmax.sd","Imax.at.15.degreeC.[mugC.mugC-1.h-1]","Imax.sd","Imax.method","primary reference","secondary reference"
"Labidocera trispinosa","Copepod","",466.572129148298,NA,"Copepod nauplii",63.9374515662221,NA,"18",NA,"1019.71923397312",587.151478416536,0.000209332402874614,0.000120533011179385,"Linear","Landry (1978)",NA
"Labidocera trispinosa","Copepod","",466.572129148298,NA,"Copepod nauplii",82.7274551174277,NA,"18",NA,"1247.9716891092",718.435928698208,0.000554936906169946,0.000319467673050898,"Linear","Landry (1978)",NA
"Labidocera trispinosa","Copepod","",466.572129148298,NA,"Copepod nauplii",86.786960604354,NA,"18",NA,"1202.35828215268",692.4544729294,0.000617287123570449,0.000355504042466273,"Linear","Landry (1978)",NA
"Labidocera trispinosa","Copepod","",466.572129148298,NA,"Copepod nauplii",89.3495878116626,NA,"18",NA,"1552.33919934956",893.917253392952,0.000869669352777642,0.00050080062367861,"Linear","Landry (1978)",NA
"Labidocera trispinosa","Copepod","",466.572129148298,NA,"Copepod nauplii",94.0732321335744,NA,"18",NA,"502.211027405433",288.951949679676,0.000328378203661077,0.000188935560954095,"Linear","Landry (1978)",NA
"Labidocera trispinosa","Copepod","",466.572129148298,NA,"Copepod nauplii",105.760960138491,NA,"18",NA,"1582.84084749732",911.575958757253,0.00147062954005668,0.000846952196788175,"Linear","Landry (1978)",NA
"Labidocera trispinosa","Copepod","",466.572129148298,NA,"Copepod nauplii",109.249459101105,NA,"18",NA,"2526.35231618942",1454.75540430302,0.00258726958596826,0.00148983353923229,"Linear","Landry (1978)",NA
"Labidocera trispinosa","Copepod","",466.572129148298,NA,"Copepod nauplii",111.670691418777,NA,"18",NA,"1734.97824752913",999.098499988291,0.00189758627662152,0.00109273739037993,"Linear","Landry (1978)",NA
"Labidocera trispinosa","Copepod","",466.572129148298,NA,"Copepod nauplii",126.26008939675,NA,"18",NA,"1993.73235081297",1147.57204138668,0.00315177360927926,0.00181412879884025,"Linear","Landry (1978)",NA
"Labidocera trispinosa","Copepod","",466.572129148298,NA,"Copepod nauplii",137.165631377942,NA,"18",NA,"2145.86975084478",1235.72080558776,0.00434939809456965,0.00250464489521212,"Linear","Landry (1978)",NA
"Labidocera trispinosa","Copepod","",466.572129148298,NA,"Copepod nauplii",145.641866897747,NA,"18",NA,"1293.58509606572",744.678469644372,0.00313865511267516,0.00180683040733617,"Linear","Landry (1978)",NA
"Labidocera trispinosa","Copepod","",466.572129148298,NA,"Copepod nauplii",153.304412234959,NA,"18",NA,"2450.32997126188",1410.61204498763,0.00693391345475862,0.00399173252292515,"Linear","Landry (1978)",NA
"Labidocera trispinosa","Copepod","",466.572129148298,NA,"Copepod nauplii",178.900432269145,NA,"18",NA,"3743.9150673276",2155.49925562201,0.0168364311674912,0.00969330612373181,"Linear","Landry (1978)",NA
"Labidocera trispinosa","Copepod","",466.572129148298,NA,"Copepod nauplii",183.179141246936,NA,"18",NA,"5737.64741814057",3303.41916333875,0.0276982157959823,0.0159470964635175,"Linear","Landry (1978)",NA
"Labidocera trispinosa","Copepod","",466.572129148298,NA,"Copepod nauplii",202.746724459962,NA,"18",NA,"745.760661703767",429.396985946045,0.0048814730050026,0.00281067358867705,"Linear","Landry (1978)",NA
"Labidocera trispinosa","Copepod","",466.572129148298,NA,"Copepod nauplii",219.780797878717,NA,"18",NA,"684.850075584999",394.341937265028,0.00571024347819299,0.00328800208355404,"Linear","Landry (1978)",NA
"Labidocera trispinosa","Copepod","",466.572129148298,NA,"Copepod nauplii",237.076254961897,NA,"18",NA,"8918.44087194397",3144.93618558234,0.0933346693417185,0.0329128805356033,"Linear","Landry (1978)",NA
"Labidocera trispinosa","Copepod","",466.572129148298,NA,"Copepod nauplii",303.432904492848,NA,"18",NA,"2282.89539206782",1313.63328966929,0.0500914859998058,0.0288238540263316,"Linear","Landry (1978)",NA
"Neocalanus cristatus","Copepod","CV",2077.45021465706,NA,"Calanus pacificus nauplii",123.060619393852,NA,"8",NA,"31.7568254846329",NA,3.71855526894031e-05,1.11556658068209e-05,"Linear","Greene and Landry (1988)",NA
"Neocalanus cristatus","Copepod","CV",2077.45021465706,NA,"Calanus pacificus nauplii",165.79251532265,NA,"8",NA,"23.3865782265191",NA,6.69639884999037e-05,2.00891965499711e-05,"Linear","Greene and Landry (1988)",NA
"Neocalanus cristatus","Copepod","CV",2077.45021465706,NA,"Calanus pacificus nauplii",233.345494247462,NA,"8",NA,"17.8740276445539",NA,0.000142692304428338,4.28076913285014e-05,"Linear","Greene and Landry (1988)",NA
"Neocalanus cristatus","Copepod","CV",2077.45021465706,NA,"Calanus pacificus nauplii",296.249113904459,NA,"8",NA,"6.08528310996159",NA,9.94104034738373e-05,2.98231210421512e-05,"Linear","Greene and Landry (1988)",NA
"Neocalanus cristatus","Copepod","CV",2077.45021465706,NA,"Calanus pacificus nauplii",443.393298171389,NA,"8",NA,"0.381821685330924",NA,2.09125904416617e-05,6.27377713249852e-06,"Linear","Greene and Landry (1988)",NA
"Neocalanus cristatus","Copepod","CV",2077.45021465706,NA,"Calanus pacificus nauplii",524.515206079498,NA,"8",NA,"0.381821685330924",NA,3.46190151090322e-05,1.03857045327097e-05,"Linear","Greene and Landry (1988)",NA
"Neocalanus cristatus","Copepod","CV",2077.45021465706,NA,"Calanus pacificus nauplii",611.095092386457,NA,"8",NA,"0.381821685330924",NA,5.47478219961659e-05,1.64243465988498e-05,"Linear","Greene and Landry (1988)",NA
"Neocalanus cristatus","Copepod","CV",2077.45021465706,NA,"Calanus pacificus nauplii",711.10558672835,NA,"8",NA,"0.572732527996385",NA,0.000129399914565267,3.88199743695801e-05,"Linear","Greene and Landry (1988)",NA
"Neocalanus cristatus","Copepod","CV",2077.45021465706,NA,"Calanus pacificus nauplii",872.437543925357,NA,"8",NA,"0.190910842665462",NA,7.96550844378715e-05,2.38965253313614e-05,"Linear","Greene and Landry (1988)",NA
"Euchaeta elongata","Copepod","",2154.29736867961,NA,"Calanus pacificus nauplii-copepodite / Pseudocalanus spp female",126.219717533806,NA,"8",NA,"536.629923999477",NA,0.000678010417331333,0.0002034031251994,"Linear","Greene and Landry (1985)",NA
"Euchaeta elongata","Copepod","",2154.29736867961,NA,"Calanus pacificus nauplii-copepodite / Pseudocalanus spp female",171.649159344313,NA,"8",NA,"827.72634503693",NA,0.00263021765742343,0.000789065297227028,"Linear","Greene and Landry (1985)",NA
"Euchaeta elongata","Copepod","F",2201.14452506639,NA,"Calanus pacificus nauplii",220.114452506639,NA,"8",NA,"118.279494397826",NA,0.00347935010757806,3.13994696842072e-05,"Extracted","Yen (1983)",NA
"Euchaeta elongata","Copepod","",2154.29736867961,NA,"Calanus pacificus nauplii-copepodite / Pseudocalanus spp female",233.345494247462,NA,"8",NA,"1155.1043489863",NA,0.00922145275199186,0.00276643582559756,"Linear","Greene and Landry (1985)",NA
"Euchaeta elongata","Copepod","",2154.29736867961,NA,"Calanus pacificus nauplii-copepodite / Pseudocalanus spp female",303.854146524223,NA,"8",NA,"2228.36419698525",NA,0.0392791012690043,0.0117837303807013,"Linear","Greene and Landry (1985)",NA
"Euchaeta elongata","Copepod","",2154.29736867961,NA,"Calanus pacificus nauplii-copepodite / Pseudocalanus spp female",436.48351900145,NA,"8",NA,"1755.39962989252",NA,0.0917190231900078,0.0275157069570023,"Linear","Greene and Landry (1985)",NA
"Euchaeta elongata","Copepod","",2154.29736867961,NA,"Calanus pacificus nauplii-copepodite / Pseudocalanus spp female",526.718044111387,NA,"8",NA,"1673.55512890517",NA,0.153657754050195,0.0460973262150585,"Linear","Greene and Landry (1985)",NA
