"species","phylum","stage","pred.esd","pred.esd.sd","ops","prey.esd.min","prey.esd.max"
"Labidocera trispinosa","Copepod","A",466.572129148298,0,183.179141246936,63.9374515662221,303.432904492848
"Neocalanus cristatus","Copepod","CV",1998.62017470411,0,11.9496811971309,11.9496811971309,872.437543925357
"Euchaeta elongata","Copepod","A",2166.25546533706,0,303.854146524223,126.219717533806,870.496780377864
"Corycaeus anglicus","Copepod","A",319.9476,0,242.782125020546,70.22888,715.919005295422
"Oithona spinirostris","Copepod","A",136.426518178537,0,74.0838722740364,74.0838722740364,355.882379733333
"Paracartia grani","Copepod","N",99.4617350579412,30.519391823925,12.8,2.5,42.9
"Temora longicornis","Copepod","A",440.117651860025,5.31112192791086,11.9,6.1,58.5
"Centropages hamatus","Copepod","N",136.096658518354,0.39451567765793,13.3,8.6,39.4
"Centropages hamatus","Copepod","C",139.789372767648,0.668650037065812,13.3,11.4,39.4
"Oithona nana","Copepod","N",91.0200277036448,0.953557922929285,12,7.2,42.1
"Oithona nana","Copepod","C",129.761209901765,1.32491184574543,12,7.2,42.1
"Temora longicornis","Copepod","N",141.534398313817,0.972550235309754,11.7,7.8,39.8
"Temora longicornis","Copepod","C",193.616606125693,1.24180958789074,11.7,11.7,39.8
"Oithona davisae","Copepod","N",93.5484993888602,0,16.4193,2.5543,41.6288
"Oithona davisae","Copepod","A",175.531424830595,0,12.6230762819094,2.47,84.3658
"Harpacticus obscurus","Copepod","A",237.110730052911,0,8.42,8.42,13.4
"Paramphiascella fulvofasciata","Copepod","A",313.535095775882,0,8.42,8.42,13.4
"Tigriopus brevicornis","Copepod","A",335.840585150434,0,8.42,8.42,13.4
"Eurytemora affinis","Copepod","A",367.080081985605,0,23.2168157072185,12.9658518256033,40.0151313053236
"Calanus helgolandicus","Copepod","A",713.225539817105,0,78.472670007155,78.472670007155,194.647627541957
"Acartia tonsa","Copepod","A",371.312929569147,0,11.0106136648522,3.88700012380694,22.2548611992956
"Oithona nana","Copepod","A",153.509628704178,0,79.1122371679595,2.37732508144562,185.159272157263
"Oithona similis","Copepod","C",178.769311729142,0,19.3352664446562,6.33587401920854,19.3352664446562
"Oithona similis","Copepod","A",178.769311729142,0,18.3721423372916,5.63659493414716,22.4135744509561
"Acartia hudsonica","Copepod","A",434.568823423727,0,13.4783063434755,11.8121178516514,13.4783063434755
"Aetideus divergens","Copepod","A",695.948289829679,0,229.331299475726,11.7773663418043,229.331299475726
"Calanus finmarchicus","Copepod","A",1182.95289010693,0,17,3,17
"Calanus pacificus","Copepod","A",1066.79084390575,0,87,35,87
"Calanus sinicus","Copepod","A",820.803407029467,0,17.233071739704,6.14531790947364,26.4756929640592
"Clausocalanus lividus","Copepod","A",627.851419224275,0,27.8,6.8,27.8
"Euterpina acutifrons","Copepod","A",281.126301936634,0,6.17550670792349,4.79317356984603,24.6594721917921
"Paracalanus crassirostris","Copepod","A",404.971028727556,0,6.14531790947364,6.14531790947364,22.2765406101015
"Tortanus dextrilobatus","Copepod","A",697.989932304677,10.8561562758722,344.357632590096,146.961011702052,362.033865430164
"Tortanus forcipatus","Copepod","A",462.712540325039,3.44361899672614,236.166430350914,108.281799236484,236.166430350914
"Tortanus spp","Copepod","CI-III",259.411796638198,0,113.954596435744,113.954596435744,481.279119256867
"Tortanus spp","Copepod","A",412.334455662637,0,113.954596435744,113.954596435744,481.279119256867
"Tortanus spp","Copepod","CIV-V",328.317298342159,0,113.954596435744,113.954596435744,481.279119256867
"Calanus helgolandicus","Copepod","NIII",188.19384,0,26.5,4.5,26.5
"Calanus helgolandicus","Copepod","NIV",227.38956,0,26.5,4.5,26.5
"Calanus helgolandicus","Copepod","NV",273.94452,0,26.5,4.5,26.5
"Calanus helgolandicus","Copepod","NVI",311.59194,0,26.5,4.5,26.5
"Acartia grani","Copepod","A",403.2693,0,19.27,7.53,19.27
"Acartia erythraea","Copepod","A",401.555447758282,0,32.2379,3.127,62.5392
"Centropages yamadai","Copepod","A",534.091761414489,0,9.9602,3.0135,63.7588
"Paracalanus parvus","Copepod","A",349.929096861223,0,31.2632,3.1404,61.9545
"Pseudodiaptomus marinus","Copepod","A",418.542399404635,0,20.2735,3.0633,66.6334
"Diacyclops thomasi","Copepod","A",520,34.6738046264428,180,140,680
"Calanus pacificus","Copepod","CI",288.049499612127,0,28.7,11,29.6
"Calanus pacificus","Copepod","NIII",196.624352579007,0,29.6,12.3,34.8
"Calanus pacificus","Copepod","NV",235.500633418102,0,12.3,4.3,34.8
"Calanus pacificus","Copepod","NVI",264.575171625369,0,28.7,4.3,29.6
"Rhincalanus nasutus","Copepod","A",1051.70383941268,0,18,0.8,22
"Calanus sp","Copepod","A",824.515895804388,0,22,0.8,22
"Eucalanus pilcatus","Copepod","CIII-IV",589.291985830288,11.6181596792361,10.7474370846897,5.94471932086806,32.5155642083573
"Rhincalanus nasutus","Copepod","NII-III",174.241546181372,0,45.7078149734083,8.42393948619934,381.18265020254
"Rhincalanus nasutus","Copepod","NIV",260.791657370661,0,20.175452211501,8.42393948619934,381.18265020254
"Rhincalanus nasutus","Copepod","NV-VI",308.892411070627,0,312.637056718709,8.42393948619934,381.18265020254
"Rhincalanus nasutus","Copepod","CI",307.566676253023,0,45.7078149734083,8.42393948619934,381.18265020254
"Rhincalanus nasutus","Copepod","CII",387.509729657385,0,45.7078149734083,8.42393948619934,381.18265020254
"Rhincalanus nasutus","Copepod","CIII",609.25217642416,0,20.175452211501,8.42393948619934,381.18265020254
"Rhincalanus nasutus","Copepod","CIV",866.536286002199,0,312.637056718709,8.42393948619934,381.18265020254
"Rhincalanus nasutus","Copepod","CV",952.77635028255,0,312.637056718709,8.42393948619934,381.18265020254
"Rhincalanus nasutus","Copepod","A",1378.33076284311,0,312.637056718709,8.42393948619934,381.18265020254
"Acartia tonsa","Copepod","A",403.83891531256,0,7.39796739417568,7.39796739417568,29.8277144132867
"Labidocera trispinosa","Copepod","A",466.572129148298,0,237.076254961897,63.9374515662221,303.432904492848
"Euchaeta elongata","Copepod","A",2166.25546533706,0,557.37768026318,126.219717533806,870.496780377864
"Corycaeus anglicus","Copepod","A",319.9476,0,383.825490175388,70.22888,715.919005295422
"Temora longicornis","Copepod","A",440.117651860025,5.31112192791086,28.6,6.1,58.5
"Oithona davisae","Copepod","A",175.531424830595,0,28.5482,2.47,84.3658
"Acartia tonsa","Copepod","A",371.312929569147,0,15.4017312529071,3.88700012380694,22.2548611992956
"Euterpina acutifrons","Copepod","A",281.126301936634,0,19.27,4.79317356984603,24.6594721917921
"Centropages yamadai","Copepod","A",534.091761414489,0,25.2002,3.0135,63.7588
"Pseudodiaptomus marinus","Copepod","A",418.542399404635,0,39.6961,3.0633,66.6334
"Calanus pacificus","Copepod","NV",235.500633418102,0,28.7,4.3,34.8
"Acartia clausi",NA,"C",353,NA,25,25,35
"Acartia tonsa",NA,"A",476,NA,14.65,4,153
"Acartia tonsa",NA,"C",444,NA,32,32,32
"Acartia tonsa",NA,"CIII-IV",279,NA,14.5,4.4,14.5
"Acartia tonsa",NA,"NII-III",102.538461538462,NA,7,4,14.7
"Acartia tonsa",NA,"NIV-V",135,NA,4,2.6,17.5
"Calanus finmarchicus",NA,"A",855,NA,80,7,137
"Centropages typicus",NA,"A",559,NA,32,9.2,120
"Diaptomus graciloides",NA,"A",325,NA,31,27,35
"Diaptomus siclis",NA,"C",398,NA,14.1,4,22
"Eurytemora herdmani",NA,"A",381,NA,13.5,6.7,33
"Pseudocalanus minutus",NA,"A",414,NA,39,4.5,66
"Temora longicornis",NA,"C",558,NA,15,6.5,33
