reference,source,citation.if.no.doi,size.or.mass.measurement.method,feeding.rate.measurement.method,experiment.comments,acclimation.time.h,adaptation.method,feeding.replicates,copepod.sampling.area
Stemberger (1985),https://doi.org/10.1007/BF00379662,,microscope observations,dilution grazing experiment,prey multiculture,84,sated,3,"Lake Michigan, Michigan, USA"
Verity and Paffenhoefer (1996),https://doi.org/10.1093/plankt/18.10.1767,,microscope observations,dilution grazing experiment,size measurements using a digitizing software,0,,3,"Cape Hatteras, North Carolina, USA"
Landry (1978),https://doi.org/10.4319/lo.1978.23.6.1103,,microscope observations,dilution grazing experiment,,36,sated,8,"La Jolla, Califronia, USA"
Greene and Landry (1988),https://doi.org/10.1139/f88-130,,,dilution grazing experiment,,,,NA,"San Juan Archipelago, Washington, USA"
Greene and Landry (1985),https://doi.org/10.2307/1938003,,,dilution grazing experiment,,>24,starved,4,"Dabob Bay and Puget Sound, Washington, USA"
Yen (1983),https://doi.org/10.1007/BF00392632,,microscope observations,dilution grazing experiment,,,,8,"Port Susan, Washington, USA"
Landry et al (1985),https://doi.org/10.1007/BF00397435,,microscope observations,dilution grazing experiment,observations using Formalin and a counting tray,>24,,6,"San Juan Island, Washington, USA"
Landry and Fagerness (1988),https://www.ingentaconnect.com/contentone/umrsmas/bullmar/1988/00000043/00000003/art00015;jsessionid=b3taer234a5je.x-ic-live-02,"Behavioral and Morphological Influences on Predatory Interactions among Marine Copepods, Bulletin of Marine Science, Volume 43, Number 3, November 1988, pp. 509-529(21)",microscope observations,dilution grazing experiment,,,,4,"Puget Sound, Washington, USA"
Berggreen et al (1988),https://doi.org/10.1007/BF02112126,,microscope observations,dilution grazing experiment,,3,sated,3,Laboratory culture
Vanderploeg et al (1984),https://doi.org/10.1093/plankt/6.6.919,,microscope observations,dilution grazing experiment,experiments recorded on a film,6,sated,2,"Lake Michigan, Michigan, USA"
Poulet (1977),https://doi.org/10.1139/f77-319,,,dilution grazing experiment,"prey preference measurement, extracted from Hansen et al. (1994)",0,,NA,"Bedford Basin, Nova Scotia, Canada"
Wilson (1972),https://doi.org/10.2307/1935688,,,dilution grazing experiment,"prey preference measurement, extracted from Hansen et al. (1994)",,,2,"Buzzards bay, Massachusetts, USA"
Helenius and Saiz (2017),https://doi.org/10.1371/journal.pone.0172902,,microscope and carbon weight observations,dilution grazing experiment,,50,sated,7,"Laboratory culture, Institut de Ciències del Mar, Barcelona, Spain"
Gonçalves et al (2014),https://doi.org/10.3354/meps11039,,microscope observations,dilution grazing experiment,experiments recorded on a film,1,starved,6,"Kosterfjorden and Øresund, Denmark"
Almeda et al (2018),https://doi.org/10.1002%2Flno.10969,,microscope observations,dilution grazing experiment,Oithona nana,,grown in lab,3,"Cantabrian Sea, Spain"
Almeda et al (2018),https://doi.org/10.1002%2Flno.10969,,microscope observations,dilution grazing experiment,Temora longicornis,,grown in lab,3,"Resund strait, Denmark"
